FATALITY_ID,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_DATE,FATALITY_LOCATION,FATALITY_TYPE
40883,883022,68,F,3/10/2020,In Water,I
40684,863829,63,F,1/3/2020,Permanent Home,D
40095,863926,,M,1/7/2020,Vehicle/Towed Trailer,I
40242,865048,,M,1/17/2020,Vehicle/Towed Trailer,I
40294,865786,,M,1/23/2020,Vehicle/Towed Trailer,I
40288,865838,39,M,1/11/2020,Outside/Open Areas,I
40289,865838,27,M,1/11/2020,Outside/Open Areas,I
40384,866243,44,F,1/18/2020,Outside/Open Areas,D
40675,866540,44,M,1/10/2020,Mobile/Trailer Home,D
40439,866671,75,M,1/11/2020,Permanent Home,D
40600,866919,26,M,1/1/2020,Outside/Open Areas,D
40601,866919,24,M,1/1/2020,Outside/Open Areas,D
40452,866960,79,M,1/11/2020,Mobile/Trailer Home,D
40453,866960,65,F,1/11/2020,Mobile/Trailer Home,D
40454,866960,87,M,1/11/2020,Mobile/Trailer Home,D
40515,867068,28,F,1/30/2020,Vehicle/Towed Trailer,D
40516,867068,59,M,1/30/2020,Vehicle/Towed Trailer,D
40455,867124,58,M,1/10/2020,Vehicle/Towed Trailer,D
40456,867163,14,M,1/11/2020,Vehicle/Towed Trailer,D
40530,868181,62,M,1/24/2020,Vehicle/Towed Trailer,I
40531,868181,16,M,1/24/2020,Vehicle/Towed Trailer,I
40654,869337,18,M,1/18/2020,Outside/Open Areas,D
40641,870754,58,M,1/7/2020,Outside/Open Areas,D
40642,870754,46,M,1/7/2020,Outside/Open Areas,D
40643,870754,33,F,1/7/2020,Outside/Open Areas,D
40708,870889,18,F,1/16/2020,Outside/Open Areas,I
40661,871138,46,F,1/23/2020,Outside/Open Areas,D
40709,871694,,,1/11/2020,Vehicle/Towed Trailer,D
40676,872110,80,F,1/20/2020,Permanent Home,D
40712,872351,60,M,1/4/2020,Vehicle/Towed Trailer,I
40680,872628,53,F,1/10/2020,Vehicle/Towed Trailer,D
40693,873349,,M,1/7/2020,Outside/Open Areas,D
40697,873666,,,1/13/2020,School,D
40698,873666,,,1/13/2020,School,D
40699,873666,,,1/13/2020,School,D
40702,873776,50,M,1/15/2020,Vehicle/Towed Trailer,D
40713,873932,,M,1/14/2020,Vehicle/Towed Trailer,I
40714,873932,,F,1/14/2020,Vehicle/Towed Trailer,I
40686,872994,48,M,3/20/2020,Vehicle/Towed Trailer,D
40687,872994,47,M,3/20/2020,Vehicle/Towed Trailer,D
40688,872994,35,F,3/20/2020,Vehicle/Towed Trailer,D
40689,872994,13,M,3/20/2020,Vehicle/Towed Trailer,D
40690,872994,7,F,3/20/2020,Vehicle/Towed Trailer,D
40691,872994,4,F,3/20/2020,Vehicle/Towed Trailer,D
40978,882999,36,M,3/3/2020,Outside/Open Areas,D
40979,882999,33,F,3/3/2020,Outside/Open Areas,D
40980,883007,84,M,3/3/2020,Permanent Home,D
40981,883007,81,F,3/3/2020,Permanent Home,D
40982,883007,38,F,3/3/2020,Permanent Structure,D
41126,883016,31,F,3/3/2020,Permanent Home,D
41127,883016,4,F,3/3/2020,Permanent Home,D
41128,883016,7,M,3/3/2020,Mobile/Trailer Home,D
41129,883016,54,M,3/3/2020,Mobile/Trailer Home,D
41130,883016,30,F,3/3/2020,Permanent Home,D
41131,883016,4,M,3/3/2020,Permanent Home,D
41132,883016,30,M,3/3/2020,Permanent Home,D
41133,883016,30,F,3/3/2020,Permanent Home,D
41134,883016,2,M,3/3/2020,Permanent Home,D
41135,883016,50,M,3/3/2020,Permanent Home,D
41136,883016,50,F,3/3/2020,Permanent Home,D
41137,883016,67,F,3/3/2020,Permanent Structure,D
41138,883016,28,F,3/3/2020,Permanent Structure,D
